nohup: 忽略输入
Dataset
sheet has 5097 rows
====================test  ======================
[1147, 2294, 3441, 4588, 5735, 6882, 8029, 9176, 10323, 11470, 12617, 13764, 14911, 16058, 17205]
./jobs/iter_1147.pth
./jobs/iter_1147.pth 0 pa = 0.924, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.462, FWIoU=0.853, discore=0.498, BWdiscore=0.960
./jobs/iter_1147.pth 100 pa = 0.956, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.478, FWIoU=0.914, discore=0.511, BWdiscore=0.978
./jobs/iter_1147.pth 200 pa = 0.991, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.495, FWIoU=0.981, discore=0.531, BWdiscore=0.995
./jobs/iter_1147.pth 300 pa = 0.954, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.477, FWIoU=0.910, discore=0.699, BWdiscore=0.976
./jobs/iter_1147.pth 400 pa = 0.986, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.493, FWIoU=0.972, discore=0.602, BWdiscore=0.993
./jobs/iter_1147.pth 500 pa = 0.962, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.481, FWIoU=0.926, discore=0.524, BWdiscore=0.981
./jobs/iter_1147.pth 600 pa = 0.993, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.496, FWIoU=0.986, discore=0.538, BWdiscore=0.996
./jobs/iter_1147.pth 700 pa = 0.952, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.476, FWIoU=0.906, discore=0.568, BWdiscore=0.975
./jobs/iter_1147.pth 800 pa = 0.991, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.495, FWIoU=0.982, discore=0.456, BWdiscore=0.995
./jobs/iter_1147.pth 900 pa = 0.960, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.480, FWIoU=0.922, discore=0.589, BWdiscore=0.980
./jobs/iter_1147.pth 1000 pa = 0.980, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.490, FWIoU=0.960, discore=0.615, BWdiscore=0.990
./jobs/iter_1147.pth 1100 pa = 0.934, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.467, FWIoU=0.873, discore=0.757, BWdiscore=0.966
./jobs/iter_1147.pth 1200 pa = 0.987, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.493, FWIoU=0.974, discore=0.623, BWdiscore=0.993
./jobs/iter_1147.pth 1300 pa = 0.928, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.464, FWIoU=0.862, discore=0.578, BWdiscore=0.963
./jobs/iter_1147.pth 1400 pa = 0.986, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.493, FWIoU=0.971, discore=0.586, BWdiscore=0.993
./jobs/iter_1147.pth 1500 pa = 0.944, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.472, FWIoU=0.891, discore=0.507, BWdiscore=0.971
./jobs/iter_1147.pth 1600 pa = 0.992, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.496, FWIoU=0.983, discore=0.556, BWdiscore=0.996
./jobs/iter_1147.pth 1700 pa = 0.995, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.498, FWIoU=0.990, discore=0.537, BWdiscore=0.997
./jobs/iter_1147.pth 1800 pa = 0.990, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.495, FWIoU=0.981, discore=0.613, BWdiscore=0.995
./jobs/iter_1147.pth 1900 pa = 0.994, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.497, FWIoU=0.989, discore=0.556, BWdiscore=0.997
./jobs/iter_1147.pth 2000 pa = 0.992, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.496, FWIoU=0.983, discore=0.549, BWdiscore=0.996
./jobs/iter_1147.pth 2100 pa = 0.994, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.497, FWIoU=0.989, discore=0.537, BWdiscore=0.997
./jobs/iter_1147.pth 2200 pa = 0.972, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.486, FWIoU=0.944, discore=0.564, BWdiscore=0.986
./jobs/iter_1147.pth 2300 pa = 0.992, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.496, FWIoU=0.983, discore=0.497, BWdiscore=0.996
./jobs/iter_1147.pth 2400 pa = 0.995, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.497, FWIoU=0.990, discore=0.510, BWdiscore=0.997
./jobs/iter_1147.pth 2500 pa = 0.990, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.495, FWIoU=0.980, discore=0.575, BWdiscore=0.995
./jobs/iter_1147.pth 2600 pa = 0.995, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.497, FWIoU=0.990, discore=0.546, BWdiscore=0.997
./jobs/iter_1147.pth 2700 pa = 0.977, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.488, FWIoU=0.954, discore=0.475, BWdiscore=0.988
./jobs/iter_1147.pth 2800 pa = 0.993, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.496, FWIoU=0.986, discore=0.507, BWdiscore=0.996
./jobs/iter_1147.pth 2900 pa = 0.994, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.497, FWIoU=0.989, discore=0.494, BWdiscore=0.997
./jobs/iter_1147.pth 3000 pa = 0.992, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.496, FWIoU=0.984, discore=0.531, BWdiscore=0.996
./jobs/iter_1147.pth 3100 pa = 0.978, cpa0=0.000, cpa1=0.990, mpa=0.495, mIoU=0.489, FWIoU=0.965, discore=0.745, BWdiscore=0.989
./jobs/iter_1147.pth 3200 pa = 0.992, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.496, FWIoU=0.984, discore=0.580, BWdiscore=0.996
./jobs/iter_1147.pth 3300 pa = 0.936, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.468, FWIoU=0.876, discore=0.469, BWdiscore=0.967
./jobs/iter_1147.pth 3400 pa = 0.987, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.493, FWIoU=0.974, discore=0.613, BWdiscore=0.993
